     0          17830          17981
0.014142136          13063          12822
0.028284271           8893           8701
0.042426407           6275           6443
0.056568542           4903           4962
0.070710678           4102           3923
0.084852814           3500           3537
0.098994949           2974           3104
0.11313708           2602           2708
0.12727922           2297           2549
0.14142136           2219           2383
0.15556349           2111           2152
0.16970563           1769           1997
0.18384776           1596           1695
0.1979899           1483           1647
0.21213203           1419           1624
0.22627417           1294           1538
0.24041631           1255           1485
0.25455844           1319           1366
0.26870058           1222           1211
0.28284271           1183           1147
0.29698485           1207           1075
0.31112698           1168            965
0.32526912           1161           1063
0.33941125           1055           1045
0.35355339            961            896
0.36769553            828            782
0.38183766            774            736
0.3959798            752            687
0.41012193            632            755
0.42426407            534            720
0.4384062            531            665
0.45254834            425            657
0.46669048            427            662
0.48083261            454            705
0.49497475            388            689
0.50911688            477            580
0.52325902            486            609
0.53740115            481            504
0.55154329            511            447
0.56568542            452            325
0.57982756            468            329
0.5939697            424            233
0.60811183            412            279
0.62225397            298            279
0.6363961            267            246
0.65053824            251            255
0.66468037            269            267
0.67882251            192            204
0.69296465            188            168
0.70710678            195            171
0.72124892            215            113
0.73539105            242            115
0.74953319            207            123
0.76367532            221            114
0.77781746            195            102
0.79195959            209             94
0.80610173            241             74
0.82024387            240             48
0.834386            257             52
0.84852814            239             58
0.86267027            205             62
0.87681241            160             51
0.89095454            138             37
0.90509668            122             31
0.91923882            102             29
0.93338095             78             66
0.94752309             71             24
0.96166522             43             19
0.97580736             27             12
0.98994949             13              5
