     0          18819 6.9202516e-310
0.014142136          18410 6.9202516e-310
0.028284271          17942 1.6960665e-316
0.042426407          17701 1.6960665e-316
0.056568542          17447              0
0.070710678          16942              0
0.084852814          16418              0
0.098994949          16120              0
0.11313708          15904              0
0.12727922          15795              0
0.14142136          15484              0
0.15556349          14964              0
0.16970563          14858              0
0.18384776          14773              0
0.1979899          14146              0
0.21213203          13615              0
0.22627417          13441              0
0.24041631          13409              0
0.25455844          13391              0
0.26870058          13407              0
0.28284271          13129              0
0.29698485          12648              0
0.31112698          12290              0
0.32526912          12095              0
0.33941125          11951              0
0.35355339          11674              0
0.36769553          11297              0
0.38183766          10765              0
0.3959798          10435              0
0.41012193          10315              0
0.42426407          10076              0
0.4384062           9875              0
0.45254834           9660              0
0.46669048           9419              0
0.48083261           9182              0
0.49497475           9027              0
0.50911688           8845              0
0.52325902           8603              0
0.53740115           8430              0
0.55154329           8188              0
0.56568542           7978              0
0.57982756           7600              0
0.5939697           7084              0
0.60811183           6750              0
0.62225397           6550              0
0.6363961           6343              0
0.65053824           6252              0
0.66468037           6096              0
0.67882251           5732              0
0.69296465           5308              0
0.70710678           5047              0
0.72124892           4886              0
0.73539105           4656              0
0.74953319           4419              0
0.76367532           4188              0
0.77781746           4139              0
0.79195959           4144              0
0.80610173           3953              0
0.82024387           3551              0
0.834386           3153              0
0.84852814           2826              0
0.86267027           2552              0
0.87681241           2370              0
0.89095454           2122              0
0.90509668           1817              0
0.91923882           1531              0
0.93338095           1264              0
0.94752309           1001              0
0.96166522            754              0
0.97580736            524              0
0.98994949            268 2.8458181e-321
