     0          13721 6.9407656e-310
0.014142136          11900 6.9407656e-310
0.028284271          11436              0
0.042426407          10188              0
0.056568542           9399              0
0.070710678           8048              0
0.084852814           7253              0
0.098994949           6382              0
0.11313708           5716              0
0.12727922           5052              0
0.14142136           4242              0
0.15556349           3663              0
0.16970563           3134              0
0.18384776           2565              0
0.1979899           2138              0
0.21213203           1801              0
0.22627417           1524              0
0.24041631           1321              0
0.25455844           1029              0
0.26870058            786              0
0.28284271            622              0
0.29698485            516              0
0.31112698            387              0
0.32526912            320              0
0.33941125            239              0
0.35355339            138              0
0.36769553            125              0
0.38183766             58              0
0.3959798             62              0
0.41012193             35              0
0.42426407             22              0
0.4384062             15              0
0.45254834             13              0
0.46669048             19              0
0.48083261             14              0
0.49497475              9              0
0.50911688              4              0
0.52325902              2              0
0.53740115              1              0
0.55154329              0              0
0.56568542              0              0
0.57982756              0              0
0.5939697              0              0
0.60811183              0              0
0.62225397              0              0
0.6363961              0              0
0.65053824              0              0
0.66468037              0              0
0.67882251              0              0
0.69296465              0              0
0.70710678              0              0
0.72124892              0              0
0.73539105              0              0
0.74953319              0              0
0.76367532              0              0
0.77781746              0              0
0.79195959              0              0
0.80610173              0              0
0.82024387              0              0
0.834386              0              0
0.84852814              0              0
0.86267027              0              0
0.87681241              0              0
0.89095454              0              0
0.90509668              0              0
0.91923882              0              0
0.93338095              0              0
0.94752309              0              0
0.96166522              0              0
0.97580736              0              0
0.98994949              0              0
